plot,lat,lon,ele,type,Tmax,Tmin,organic_matter_ENR,pH,CEC_meq_100g,K_ppm,Mg_ppm,Ca_ppm,NH4_N_ppm,Nitrate_ppm,soil_moisture,sand,clay,microsite,depth,P1_weak_bray_ppm,NaHCO3P_olsen_ppm
740,34.73909,-120.02597,719.130127,upper,24.2419354839,7.2903225806,110,7.4,22.8,2.3,77.3,20,6.7,6,0.127180214,31,49,not_hummock,45,14,10
741,34.73891001,-120.025966,719.130127,upper,25.1333333333,5.5,104,7.1,27.9,2.2,81.8,15.6,8.3,5,0.140425807,19,55,not_hummock,38,6,4
742,34.73873299,-120.025905,727.594421,upper,25.0333333333,7.4833333333,104,6.7,22.4,3.1,79.4,12.7,7,3,0.0940159402,31,38,hummock,24.2,3,6
743,34.73857599,-120.026285,728.508301,upper,21.8,7.3,104,6.6,17.6,3,74.5,16.2,6.6,3,0.1007260876,41,26,hummock,18.9,5,6
744,34.73832403,-120.026687,731.887329,upper,25.5166666667,7.6833333333,129,7.1,20.1,3.7,82.2,13.8,9.1,4,0.1197212013,45,26,hummock,18.9,8,9
745,34.73842897,-120.026778,729.693237,upper,26.3166666667,7.2833333333,124,6.8,23,1.8,85,10,8.1,3,0.091940252,37,38,hummock,12.8,5,5
746,34.73848798,-120.027191,729.740417,upper,23.1666666667,7.5333333333,106,7.2,20.2,2.6,85.2,11.9,5.8,4,0.0797145679,45,34,not_hummock,45,4,6
747,34.73877104,-120.027204,734.36377,upper,25.8166666667,8.9,100,6.9,13.5,2.8,83.3,12.1,7,3,0.0855285241,67,18,hummock,31.5,6,6
748,34.73972398,-120.026392,732.504211,upper,26.1,8.4,83,7.4,15.4,1.9,87.5,10.4,5.9,3,0.0584993236,71,20,hummock,14.2,6,7
749,34.73954796,-120.026177,727.943298,upper,24.8166666667,7.8333333333,124,7.2,19.7,2.7,78.5,18.4,6.1,4,0.0875233055,57,26,not_hummock,44.5,8,9
750,34.73969498,-120.02522,730.727844,upper,25.6666666667,8.75,100,7,19.8,3,85.1,11.7,9.1,3,0.0857008036,45,30,hummock,39.4,9,12
751,34.73963203,-120.024898,728.240173,upper,25.3833333333,7.9666666667,106,7,29.9,2.2,85.4,12.2,8.6,3,0.1134857865,53,22,hummock,34.2,4,5
752,34.73905301,-120.024731,718.242126,upper,24.2166666667,8.4,126,6.6,20.2,2.9,75.6,15.2,9.8,3,0.0858285916,37,32,hummock,13.9,11,12
753,34.73917002,-120.025252,718.787354,upper,21.5166666667,8.65,116,7.2,21.8,2,80.3,17.2,10,5,0.0984753848,37,42,not_hummock,35.7,2,4
754,34.73886601,-120.025257,716.340698,upper,22.3666666667,8.1,111,7.4,23.9,2.2,73.3,24,9,6,0.1188963895,31,42,not_hummock,40.2,2,4
755,34.73864498,-120.024957,716.454895,upper,23.35,7.5333333333,107,6.9,16.2,3.1,81.3,13.7,9.2,3,0.1105526875,45,28,hummock,14.2,4,7
