...1,USDA_symbol,leaf_size,SLA,LDMC,seed_mass,max_height,SRL,relative_spread,phenology,foliar_N,CN_ratio,d13C,d15N,dataset
1,ACMO2,1.72816666666667,224.280749683007,138.333377438063,0.003933333333333,26.3,61.744074451508,0.228756349267858,99,2.71,19.1328413284133,-30.12,0.78,2017
2,AGHE2,4.71195833333333,319.975424989172,154.93773190006,3.66666666667e-4,25.05,NA,0.342549132630654,108,2.45,16.8244897959184,-30.8,-0.17,2017
3,ANAR,0.878125,316.890958536004,179.53883847304,3.6e-4,22.5,74.8045674690551,0.842126623376623,NA,2.14,20.6238317757009,-29.01,3.905,2017
4,AVBA,4.955625,186.50850994182,315.543960951039,0.008112479714286,106.05,35.8354220692048,0.143748246122417,101,1.73666666666667,23.9793393740762,-28.3333333333333,-1.76,2017
5,AVFA,9.45720833333333,216.138451112531,243.076821774325,0.00748,123.4,36.2564886435817,0.260673403408821,106,2,17.895,-29.35,3.37,2017
6,BOIN3,2.74458333333333,549.638470876262,151.568757172283,9.76666666667e-4,49.2,179.524412526759,NA,NA,2.29,15.4759825327511,-30.21,-0.88,2017
7,BRDI3,10.42125,254.312945761196,271.450536615586,0.0154,54.2,45.7185511516535,0.315362058705831,108,2.37,17.8227848101266,-27.75,3.07,2017
8,BRHO2,3.01645833333333,284.839267678335,247.822302729064,0.00325,58.05,129.686509122162,0.24673461277882,112,2.18,18.3623853211009,-30.02,6.41,2017
9,BRMA3,1.04126923076923,229.468845228693,286.90187766851,0.003112,30,NA,NA,NA,NA,NA,NA,NA,2017
10,CACO35,2.159,181.647757277348,226.403755370921,0.0242202,19.05,31.0383972741943,2.20717893217893,NA,2.51,17.3505976095618,-29.91,1.2,2017
11,CAPY2,27.2140769230769,308.85317039899,138.085749547781,0.004873333333333,161.3,NA,0.311693182977897,144,2.73,14.956043956044,-30.74,-2.89,2017
12,CHGL,1.13561111111111,125.432681941264,147.476095411721,6.1e-4,13.975,NA,NA,NA,NA,NA,NA,NA,2017
13,CHPA8,5.26975,163.132702814486,168.119141023222,6.174e-4,18.65,67.0617277437732,1.15341739766082,NA,NA,NA,NA,NA,2017
14,CHPO3,30.7943333333333,159.40225095635,189.80361147767,0.00873,25.05,NA,0.983634742968378,NA,2.33,19.2103004291845,-27.89,0.06,2017
15,CLPE,10.3658333333333,544.232756385246,41.4850194172019,8e-4,25,NA,NA,80,3.89,10.0090867036743,-32.275,-4.165,2017
16,CRSE11,3.35804166666667,139.137367207021,325.239156577498,0.00794,7,NA,2.71666666666667,NA,2.695,15.8130128875916,-28.005,0.735,2017
17,DICA14,NA,NA,NA,NA,48.3,NA,NA,NA,NA,NA,NA,NA,2017
18,DOCL,5.58313043478261,219.498395187737,116.867095822748,9.8e-4,33.25,NA,0.401774212100299,NA,2.7,15.4,-29.93,-1.36,2017
19,ERMO7,8.95485,279.584085611293,242.360655340716,0.00164,31.3,NA,0.692226151095636,NA,4.27,9.15222482435597,-30.25,1.21,2017
20,FEMI2,0.555516483516484,128.547592763057,341.299598308416,1.256e-4,41,NA,NA,NA,NA,NA,NA,NA,2017
21,FEMY2,1.22065217391304,278.778045113751,259.268610114433,3.333e-4,37.5,137.819902450309,0.235078320802005,102,2.54,16.4271653543307,-30.985,2.66,2017
22,GAAP2,1.82495238095238,505.151138510498,156.502769804313,0.003940909090909,74,71.7932066599169,NA,NA,2.7,14.9518518518518,-28.12,-1.31,2017
23,GIOC,1.63066666666667,158.275099389867,136.748519776251,8.88333333333e-4,16.05,178.768269240157,NA,89,1.35,31.7111111111111,-29.89,-2.03,2017
24,HOMU,1.50964615384615,247.387908610133,270.915836603302,0.006561,60,NA,NA,NA,NA,NA,NA,NA,2017
25,LARA,2.35483333333333,153.427729789111,209.771757867754,4.26666666667e-4,30,51.0453528225806,0.220512820512821,NA,1.68,22.8988095238095,-31.24,1.5,2017
26,LASE,14.3678260869565,282.157202491775,143.105646042642,4.17e-4,100,177.002169841923,0.617876696572349,NA,3.6775,12.155880665975,-28.5775,2.19,2017
27,LEBI4,1.75845833333333,194.249520339433,133.96279421613,0.001226666666667,41.75,79.4622214359024,NA,86,1.82,23.7197802197802,-30.54,0.13,2017
28,LEPA51,0.205625,258.755201784482,197.152203427868,3.6e-4,14.05,119.584360432052,0.163398407148407,98,2.11,19.5592417061611,-29.47,-1.65,2017
29,LOPE,2.76895652173913,216.460023825391,274.80500417507,0.00212,80.25,65.9740715504964,0.596547279474911,NA,1.74,22.0689655172414,-30.65,4.65,2017
30,LOST4,0.122835193452381,119.612168444833,282.079413026558,0.00334,10,32.4155450488154,1.46019345238095,88,2.6,15.3230769230769,-27.66,-2.14,2017
31,LUBI,1.81622222222222,187.250379925761,197.820505766379,0.006136666666667,23.2,NA,NA,90,3.67,11.4523160762943,-29.47,-0.86,2017
32,MICA,0.2871,352.860114046044,288.914204993397,7.205e-4,14,91.8420813285424,NA,NA,NA,NA,NA,NA,2017
33,MIDO,3.24829166666667,264.429173267692,164.715265519176,0.002113333333333,23,74.5023046883754,0.209426808229473,103,2.48,16.5403225806452,-29.7,7.75,2017
34,SIGA,1.329,171.942196298191,177.422790920856,2.576e-4,25,76.6497730207324,0.490141622298606,146,1.91,20.5392670157068,-29.05,-0.27,2017
35,STPU2,5.89375,112.4203437703,452.850983675493,0.00403,119.3,18.9227664873446,0.264697791213577,NA,1.66,22.0120481927711,-28.29,0.84,2017
36,THCU,0.677166666666667,245.781440968315,197.628086883539,0.001766666666667,31.65,NA,0.108649274201322,NA,1.87,19.7647058823529,-31.14,5.15,2017
37,THLA3,1.25858333333333,289.124981621412,170.744727987393,9.13333333333e-4,47.95,NA,0.215521437010676,NA,3.58,11.2737430167598,-30.65,4.72,2017
38,TOAR,16.249,410.016798472143,260.888200870473,0.001786666666667,78.3,290.670496785793,0.455704480656028,144,2.51,15.1274900398406,-30.57,-2.95,2017
39,TRAL5,1.26591304347826,155.630594877921,278.410606688469,0.00155,28.3,32.2579212522318,0.769277742757409,108,2.85,14.0245614035088,-27.75,-1.03,2017
40,VIPE3,5.07895833333333,251.056060357781,174.661845660257,0.00393,23.15,NA,0.954412809954437,NA,2.26,18.1548672566372,-29.77,-3.05,2017
41,URLI5,4.35378,253.39887,107.28,0.002166666666667,30.25,313.512707015328,1.74525592828224,119,2.8,13.85450472,-29.86,4.51,TAPIOCA
42,MIDO,10.57424,178.48783,128.89,0.00135,49,334.968594432119,0.67592757034098,120,2.59,15.07751038,-29.43,4.98,TAPIOCA
43,AMME,2.56389,203.8692,153.03,0.00253,58.75,218.94746273304,0.360244870033528,121,3.25,11.86311127,-29,5.92,TAPIOCA
44,ANAR,0.76187,239.2315,193.05,4.55320738671e-4,10.65,327.228598881507,1.8047619047619,159,2.22,19.64477443,-29.59,3.55,TAPIOCA
45,CEME2,4.71408,202.73347,166.88,0.001559552076588,83.65,145.35920413833,0.646681906056906,171,4.03,10.64699649,-29.72,8.64,TAPIOCA
46,CLBO,1.02813,177.3537,185.93,1.66953279725e-4,32.45,247.739769322376,0.460016025641026,164,2.73,16.22185294,-29.19,4.91,TAPIOCA
47,CLPU2,1.54975,205.70432,173.99,3.73573412461e-4,58.5,266.02308090265,0.351500544852405,128,3,14.29735713,-28.62,5.17,TAPIOCA
48,ERBO,0.5745,215.07995,260.65,0.003320870534389,28.1,218.161883652656,1.40376984126984,118,3.6,11.87464678,-29.09,5.54,TAPIOCA
49,ERCI6,0.4194,255.51402,264.24,0.002766969441044,20.5,307.195366141607,1.85482349991279,118,3.67,11.72887885,-28.87,5.68,TAPIOCA
50,EUSP,1.22044,208.23229,299.23,0.001427771117098,20,224.070103907616,1.23728683897802,103,2.53,18.2147859,-28.09,3.25,TAPIOCA
51,GECA5,1.72758,256.98162,265.54,0.001914309811703,10.9,201.197111986331,1.36937229437229,144,2.83,15.88018455,-29.08,6.18,TAPIOCA
52,HECO7,9.2385,215.21368,150.31,0.001539877611854,70.6,232.979707340359,1.25058036326419,174,3.52,11.30526732,-30.09,5.69,TAPIOCA
53,LACA7,1.1888,206.55486,123.47,1.30233873125e-4,13.75,253.27379541292,0.827254986485602,120,4.73,8.325699116,-29.05,7.92,TAPIOCA
54,LOAM5,0.79249,256.21621,279.03,0.003918336984559,37.75,277.764580073824,0.536529467264762,180,1.64,25.64503022,-29.07,5.17,TAPIOCA
55,LOWR2,0.33271,128.48729,182.52,0.003020246274544,23.5,203.593329359489,4.03981481481481,110,2.65,13.70601114,-27.86,2.48,TAPIOCA
56,MEPO3,0.66442,237.76917,295.14,0.002996273002187,11.5,271.431785365628,2.7021657046657,115,4.22,10.71015975,-29.28,0.92,TAPIOCA
57,"NAAT",0.33996,123.01848,424.76,0.001326198704947,22,204.545801934318,2.52986111111111,212,1.25,35.48127855,-27.81,3.73,TAPIOCA
58,PLER3,2.6024,143.81479,175.19,0.002201594003359,13.665,135.509159362226,1.01158016184304,134,3.08,14.36902979,-28.35,4.41,TAPIOCA
59,SACO6,14.06438,132.26092,173.05,0.001206414933715,42.25,195.464592756988,1.68668520660626,149,3.53,11.86423017,-27.53,4.42,TAPIOCA
60,SIGA,1.9398,148.39036,206.06,2.65465990614e-4,43.3,215.494906456925,0.841391941391941,146,2.59,15.02907274,-27.42,6.52,TAPIOCA
61,BRMA3,0.8036,269.492641440926,275.068556956136,NA,10.4,96.314422964264807,0.29,131,NA,NA,NA,NA,2016
62,CHGL,1.27075,142.756337833876,106.288358654305,6.6e-4,13.975,32.8497620407386,3.95833333333333,131,2.08,17.7378330559,-29.9,-1.08,2016
63,HOMU,1.12166666666667,276.378744344639,273.670412476246,NA,16.8,60.9187715727055,0.402650829562594,131,3.15,13.1256404891,-28.5,9.35,2016
64,MICA,0.274777777777778,248.108961650323,327.570155993041,7.62e-4,27.3333333333333,65.8181396547264,0.229761904761905,117,0.86,46.8493267831,-31.27,2.11,2016
65,FEMI2,0.389041666666667,146.223506560676,339.921666981992,0.001452,15.25,85.8928438414472,0.195833333333333,124,0.53,70.7923928374,-28.16,0.7,2016
